# ================================================
# Binary Properties
# ================================================

EM ; Emoji
EPres ; Emoji_Presentation
EMod ; Emoji_Modifier
EBase ; Emoji_Modifier_Base
EComp ; Emoji_Component
ExtPict ; Extended_Pictographic

BE  ; Basic_Emoji
EMS ; Emoji_Modifier_Sequence
EFS ; Emoji_Flag_Sequence
EKS ; Emoji_Keycap_Sequence
ETS ; Emoji_Tag_Sequence
EZS ; Emoji_Zwj_Sequence

# ================================================
# Enumerated Properties
# ================================================

idstatus ; Identifier_Status
idtype ; Identifier_Type

idns ; Idn_Status
idn8 ; Idn_2008

# ================================================
# String Properties
# ================================================

#ESN ; Emoji_Short_Name

idnm ; Idn_Mapping

ConfSL ; Confusable_SL
ConfSA ; Confusable_SA
ConfML ; Confusable_ML
ConfMA ; Confusable_MA ; Confusable

bmg                      ; Bidi_Mirroring_Glyph
bpb                      ; Bidi_Paired_Bracket

cjkSimplifiedVariant ; kSimplifiedVariant
cjkTraditionalVariant ; kTraditionalVariant

# ================================================
# Miscellaneous Properties
# ================================================

CJKR ; CJK_Radical

EDCM ; Emoji_DCM
EKDDI ; Emoji_KDDI
ESB ; Emoji_SB
NS ; Named_Sequences
NSP ; Named_Sequences_Prov
SV ; Standardized_Variant

cjkCheungBauerIndex ; kCheungBauerIndex
cjkCowles ; kCowles
cjkDaeJaweon ; kDaeJaweon
cjkFennIndex ; kFennIndex
cjkGSR ; kGSR
cjkHanYu ; kHanYu
cjkIRGDaeJaweon ; kIRGDaeJaweon
cjkIRGDaiKanwaZiten ; kIRGDaiKanwaZiten
cjkIRGHanyuDaZidian ; kIRGHanyuDaZidian
cjkIRGKangXi ; kIRGKangXi
cjkKangXi ; kKangXi
cjkKarlgren ; kKarlgren
cjkLau ; kLau
cjkMatthews ; kMatthews
cjkMeyerWempe ; kMeyerWempe
cjkMorohashi ; kMorohashi
cjkNelson ; kNelson
cjkSBGY ; kSBGY
cjkCangjie ; kCangjie
cjkCheungBauer ; kCheungBauer
cjkCihaiT ; kCihaiT
cjkFenn ; kFenn
cjkFourCornerCode ; kFourCornerCode
cjkFrequency ; kFrequency
cjkGradeLevel ; kGradeLevel
cjkHDZRadBreak ; kHDZRadBreak
cjkHKGlyph ; kHKGlyph
cjkPhonetic ; kPhonetic
cjkTotalStrokes ; kTotalStrokes
cjkBigFive ; kBigFive
cjkCCCII ; kCCCII
cjkCNS1986 ; kCNS1986
cjkCNS1992 ; kCNS1992
cjkEACC ; kEACC
cjkGB0 ; kGB0
cjkGB1 ; kGB1
cjkGB3 ; kGB3
cjkGB5 ; kGB5
cjkGB7 ; kGB7
cjkGB8 ; kGB8
cjkHKSCS ; kHKSCS
cjkIBMJapan ; kIBMJapan
cjkJa ; kJa
cjkJis0 ; kJis0
cjkJis1 ; kJis1
cjkJIS0213 ; kJIS0213
cjkKPS0 ; kKPS0
cjkKPS1 ; kKPS1
cjkKSC0 ; kKSC0
cjkKSC1 ; kKSC1
cjkMainlandTelegraph ; kMainlandTelegraph
cjkPseudoGB1 ; kPseudoGB1
cjkTaiwanTelegraph ; kTaiwanTelegraph
cjkXerox ; kXerox
cjkRSAdobe_Japan1_6 ; kRSAdobe_Japan1_6
cjkRSJapanese ; kRSJapanese
cjkRSKangXi ; kRSKangXi
cjkRSKanWa ; kRSKanWa
cjkRSKorean ; kRSKorean
cjkCantonese ; kCantonese
cjkDefinition ; kDefinition
cjkHangul ; kHangul
cjkHanyuPinlu ; kHanyuPinlu
cjkHanyuPinyin ; kHanyuPinyin
cjkJapaneseKun ; kJapaneseKun
cjkJapaneseOn ; kJapaneseOn
cjkKorean ; kKorean
cjkMandarin ; kMandarin
cjkTang ; kTang
cjkVietnamese ; kVietnamese
cjkXHC1983 ; kXHC1983
cjkSemanticVariant ; kSemanticVariant
cjkSpecializedSemanticVariant ; kSpecializedSemanticVariant
cjkZVariant ; kZVariant
cjkJinmeiyoKanji ; kJinmeiyoKanji
cjkJoyoKanji ; kJoyoKanji
cjkKoreanEducationHanja ; kKoreanEducationHanja
cjkKoreanName ; kKoreanName
cjkTGH ; kTGH
