# unidata-16.0.0.txt
# Date: 2023-10-23, 00:00:00 GMT [KW]
# © 2023 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Source data for sifter
#
# This input file is used by the sifter to generate the
# Default Unicode Collation Element Table (DUCET) for
# the Unicode Collation Algorithm.
#
# Version 16.0.0 draft 12 (Unicode Version: 16.0.0)
# based on Unicode data file UnicodeData-16.0.0d10.txt
# Ordering for Unicode 16.0
#
# Fields:
# Unicode;Name;Category;Decomposition;Num value;Comment;Uppercase;Lowercase;Titlecase

# Control characters start here. Ignorable by default.

0000;NULL (in ISO 6429);Cc;;;;;;
0001;START OF HEADING (in ISO 6429);Cc;;;;;;
0002;START OF TEXT (in ISO 6429);Cc;;;;;;
0003;END OF TEXT (in ISO 6429);Cc;;;;;;
0004;END OF TRANSMISSION (in ISO 6429);Cc;;;;;;
0005;ENQUIRY (in ISO 6429);Cc;;;;;;
0006;ACKNOWLEDGE (in ISO 6429);Cc;;;;;;
0007;BELL (in ISO 6429);Cc;;;;;;
0008;BACKSPACE (in ISO 6429);Cc;;;;;;
000E;SHIFT OUT (in ISO 6429);Cc;;;;;;
000F;SHIFT IN (in ISO 6429);Cc;;;;;;
0010;DATA LINK ESCAPE (in ISO 6429);Cc;;;;;;
0011;DEVICE CONTROL ONE (in ISO 6429);Cc;;;;;;
0012;DEVICE CONTROL TWO (in ISO 6429);Cc;;;;;;
0013;DEVICE CONTROL THREE (in ISO 6429);Cc;;;;;;
0014;DEVICE CONTROL FOUR (in ISO 6429);Cc;;;;;;
0015;NEGATIVE ACKNOWLEDGE (in ISO 6429);Cc;;;;;;
0016;SYNCHRONOUS IDLE (in ISO 6429);Cc;;;;;;
0017;END OF TRANSMISSION BLOCK (in ISO 6429);Cc;;;;;;
0018;CANCEL (in ISO 6429);Cc;;;;;;
0019;END OF MEDIUM (in ISO 6429);Cc;;;;;;
001A;SUBSTITUTE (in ISO 6429);Cc;;;;;;
001B;ESCAPE (in ISO 6429);Cc;;;;;;
