# TBD Fix header, reformat

# emoji-data.txt
# Date: 2016-11-14, 15:36:23 GMT
# © 2016 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html

# Emoji Data for UTR #51
# Version: 4.0

# For documentation and usage, see http://www.unicode.org/reports/tr51

# Warning: the format has changed from Version 1.0
# Format: 
# codepoint(s) ; property(=Yes) # comments 

# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# Emoji variation sequences for use as part of keycap symbols

0023 FE0E; text style;  # NUMBER SIGN
0023 FE0F; emoji style; # NUMBER SIGN
002A FE0E; text style;  # ASTERISK
002A FE0F; emoji style; # ASTERISK
0030 FE0E; text style;  # DIGIT ZERO
0030 FE0F; emoji style; # DIGIT ZERO
0031 FE0E; text style;  # DIGIT ONE
0031 FE0F; emoji style; # DIGIT ONE
0032 FE0E; text style;  # DIGIT TWO
0032 FE0F; emoji style; # DIGIT TWO
0033 FE0E; text style;  # DIGIT THREE
0033 FE0F; emoji style; # DIGIT THREE
0034 FE0E; text style;  # DIGIT FOUR
0034 FE0F; emoji style; # DIGIT FOUR
0035 FE0E; text style;  # DIGIT FIVE
0035 FE0F; emoji style; # DIGIT FIVE
0036 FE0E; text style;  # DIGIT SIX
0036 FE0F; emoji style; # DIGIT SIX
0037 FE0E; text style;  # DIGIT SEVEN
0037 FE0F; emoji style; # DIGIT SEVEN
0038 FE0E; text style;  # DIGIT EIGHT
0038 FE0F; emoji style; # DIGIT EIGHT
0039 FE0E; text style;  # DIGIT NINE
0039 FE0F; emoji style; # DIGIT NINE

# Emoji variation sequences

00A9 FE0E; text style;  # COPYRIGHT SIGN
00A9 FE0F; emoji style; # COPYRIGHT SIGN
00AE FE0E; text style;  # REGISTERED SIGN
00AE FE0F; emoji style; # REGISTERED SIGN
203C FE0E; text style;  # DOUBLE EXCLAMATION MARK
203C FE0F; emoji style; # DOUBLE EXCLAMATION MARK
2049 FE0E; text style;  # EXCLAMATION QUESTION MARK
2049 FE0F; emoji style; # EXCLAMATION QUESTION MARK
2122 FE0E; text style;  # TRADE MARK SIGN
2122 FE0F; emoji style; # TRADE MARK SIGN
2139 FE0E; text style;  # INFORMATION SOURCE
2139 FE0F; emoji style; # INFORMATION SOURCE
2194 FE0E; text style;  # LEFT RIGHT ARROW
2194 FE0F; emoji style; # LEFT RIGHT ARROW
2195 FE0E; text style;  # UP DOWN ARROW
2195 FE0F; emoji style; # UP DOWN ARROW
2196 FE0E; text style;  # NORTH WEST ARROW
2196 FE0F; emoji style; # NORTH WEST ARROW
2197 FE0E; text style;  # NORTH EAST ARROW
2197 FE0F; emoji style; # NORTH EAST ARROW
2198 FE0E; text style;  # SOUTH EAST ARROW
2198 FE0F; emoji style; # SOUTH EAST ARROW
2199 FE0E; text style;  # SOUTH WEST ARROW
2199 FE0F; emoji style; # SOUTH WEST ARROW
21A9 FE0E; text style;  # LEFTWARDS ARROW WITH HOOK
21A9 FE0F; emoji style; # LEFTWARDS ARROW WITH HOOK
21AA FE0E; text style;  # RIGHTWARDS ARROW WITH HOOK
21AA FE0F; emoji style; # RIGHTWARDS ARROW WITH HOOK
231A FE0E; text style;  # WATCH
231A FE0F; emoji style; # WATCH
231B FE0E; text style;  # HOURGLASS
231B FE0F; emoji style; # HOURGLASS
2328 FE0E; text style;  # KEYBOARD
2328 FE0F; emoji style; # KEYBOARD
23CF FE0E; text style;  # EJECT SYMBOL
23CF FE0F; emoji style; # EJECT SYMBOL
23ED FE0E; text style;  # BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23ED FE0F; emoji style; # BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE FE0E; text style;  # BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE FE0F; emoji style; # BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EF FE0E; text style;  # BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
23EF FE0F; emoji style; # BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
23F1 FE0E; text style;  # STOPWATCH
23F1 FE0F; emoji style; # STOPWATCH
23F2 FE0E; text style;  # TIMER CLOCK
23F2 FE0F; emoji style; # TIMER CLOCK
